,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,virus_check_frequency,recovery_chance,gain_resistance_chance,hygiene_rate,Infected,Susceptible,Resistant
102,102,9,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,3,7
103,103,9,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,4,6
104,104,9,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
105,105,9,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,1,9
106,106,9,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,9,1
107,107,9,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,2,8
108,108,9,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,3,7
109,109,9,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,2,8
110,110,10,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,2,8
111,111,10,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,2,8
112,112,10,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
113,113,10,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,2,8
114,114,10,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,9,1
115,115,10,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,2,8
116,116,10,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,1,9
117,117,10,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,0,10
118,118,10,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,4,6
119,119,10,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,2,8
120,120,10,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,3,7
121,121,11,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,10,0
122,122,11,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,1,9
123,123,11,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
124,124,11,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,3,7
125,125,11,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,1,9
126,126,11,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,2,8
127,127,11,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
128,128,11,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
129,129,11,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
130,130,11,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,2,8
131,131,11,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,1,9
132,132,12,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,0,10
133,133,12,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,10,0
134,134,12,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,5,5
135,135,12,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,0,10
136,136,12,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,2,8
137,137,12,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,3,7
138,138,12,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,2,8
139,139,12,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,0,10
140,140,12,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,9,1
141,141,12,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
142,142,12,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,6,4
143,143,13,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
144,144,13,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,3,7
145,145,13,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
146,146,13,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,1,9
147,147,13,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,1,9
148,148,13,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,9,1
149,149,13,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
150,150,13,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,2,8
151,151,13,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,0,10
152,152,13,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,8,2
153,153,13,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
154,154,14,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,2,8
155,155,14,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,10,0
156,156,14,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,3,7
157,157,14,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,3,7
158,158,14,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,8,2
159,159,14,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,1,9
